year,avgTemp,minTemp,maxTemp,rainFall,accomodation(1000),concert,culture,food,history,sport,nature,rest,shopping
2015-05-09,17.5,15,20.7,1.9,0.636,0.014,0.2,1.145,0.046,0.161,1,0.275,0.118
2015-05-10,18,14.7,23,0,0.492,0.023,0.167,1.169,0.04,0.186,1.001,0.259,0.119
2015-05-11,19.8,15.9,23.1,69.3,0.316,0.026,0.208,0.533,0.025,0.057,0.238,0.168,0.102
2015-05-12,18.5,14,21.6,4.3,0.343,0.012,0.092,0.594,0.024,0.104,0.645,0.141,0.114
2015-05-13,23,19.2,27.3,0,0.325,0.007,0.066,0.574,0.022,0.083,0.508,0.169,0.074
2015-05-14,23.8,19.4,29.4,0,0.41,0.011,0.11,0.669,0.031,0.106,0.558,0.176,0.101
2015-05-15,19.7,17.3,23,2.9,0.555,0.017,0.176,0.88,0.031,0.102,0.628,0.209,0.115
2015-05-16,19,16.6,22.1,0,0.755,0.03,0.218,1.508,0.052,0.22,1.217,0.319,0.145
2015-05-17,19.3,16.1,26.4,0,0.641,0.01,0.182,1.351,0.037,0.196,1.13,0.301,0.169
2015-05-18,16.2,14.9,19,35,0.415,0.022,0.226,0.903,0.018,0.045,0.37,0.261,0.154
2015-05-19,16.3,14.8,19.3,0,0.346,0.007,0.12,0.747,0.042,0.096,0.729,0.161,0.109
2015-05-20,17.4,14.7,22.1,0,0.317,0.008,0.102,0.691,0.035,0.109,0.6,0.15,0.082
2015-05-21,18.4,14.1,22.8,0,0.412,0.007,0.103,0.642,0.017,0.109,0.584,0.129,0.076
2015-05-22,19.8,17,24.1,0,0.749,0.012,0.172,1,0.039,0.147,0.77,0.237,0.119
2015-05-23,18.8,17.4,21.7,0,1.033,0.04,0.321,1.717,0.072,0.295,1.36,0.433,0.164
2015-05-24,20.2,17.7,23.5,0,0.977,0.035,0.378,2.252,0.109,0.391,1.75,0.449,0.195
2015-05-25,20.1,17.1,23.6,0,0.724,0.021,0.271,1.615,0.187,0.27,1.483,0.444,0.173
2015-05-26,19.2,15.7,23.7,0,0.409,0.003,0.141,0.86,0.049,0.115,0.778,0.194,0.114
2015-05-27,20.5,17.4,23.4,0,0.29,0.011,0.096,0.544,0.033,0.084,0.486,0.181,0.114
2015-05-28,22.6,18,27.6,0.9,0.567,0.007,0.1,0.637,0.041,0.101,0.561,0.176,0.081
2015-05-29,21.3,19,25.3,0,0.903,0.014,0.124,0.949,0.039,0.149,0.749,0.189,0.112
2015-05-30,18.9,17.8,20.9,4.2,1.057,0.057,0.302,1.45,0.065,0.142,0.684,0.278,0.151
2015-05-31,19.7,17.6,23,0,0.782,0.049,0.22,1.46,0.073,0.231,1.13,0.294,0.159
2015-06-01,20.6,17.6,24.8,0,0.6,0.019,0.092,0.902,0.042,0.145,0.737,0.201,0.118
2015-06-02,20.2,18.5,21.8,39.9,0.424,0.02,0.179,0.654,0.031,0.063,0.436,0.179,0.153
2015-06-03,21.4,18.5,25.5,1.1,0.367,0.018,0.117,0.732,0.025,0.125,0.647,0.164,0.09
2015-06-04,20.6,17.6,23.9,0,0.548,0.005,0.131,0.952,0.039,0.126,0.795,0.161,0.105
2015-06-05,17.2,15.4,22.2,14.3,0.722,0.018,0.206,1.117,0.049,0.155,0.779,0.232,0.123
2015-06-06,19.9,15.3,26.3,0,0.802,0.008,0.196,1.517,0.06,0.28,1.338,0.335,0.153
2015-06-07,21.7,18,26,0,0.602,0.006,0.167,1.396,0.049,0.201,0.996,0.289,0.17
2015-06-08,20.9,18.5,24,4.4,0.447,0.02,0.175,0.865,0.022,0.067,0.51,0.194,0.143
2015-06-09,21.2,18.5,24.2,0,0.376,0.005,0.084,0.764,0.02,0.11,0.725,0.153,0.113
2015-06-10,22.9,18.1,28.9,0,0.37,0,0.092,0.754,0.035,0.098,0.697,0.151,0.109
2015-06-11,22.6,20.2,26.5,0.9,0.493,0.017,0.124,0.859,0.019,0.111,0.707,0.193,0.108
2015-06-12,26,21.9,30.6,0,0.603,0.021,0.168,1.05,0.035,0.156,0.878,0.188,0.131
2015-06-13,24.1,21.5,28.7,0,0.728,0.023,0.19,1.588,0.059,0.165,1.131,0.257,0.139
2015-06-14,22.9,20.9,25.4,0,0.649,0.021,0.142,1.466,0.053,0.195,1.154,0.293,0.149
2015-06-15,22.8,20.9,25.3,0,0.415,0,0.125,0.954,0.027,0.102,0.744,0.187,0.118
2015-06-16,22.2,21.1,25.3,0.7,0.383,0,0.121,0.812,0.029,0.08,0.66,0.18,0.1
2015-06-17,20.6,19.6,21.6,15.4,0.409,0.014,0.164,0.841,0.018,0.066,0.444,0.141,0.157
2015-06-18,22,19.7,25.6,0.1,0.428,0.007,0.109,0.882,0.043,0.126,0.749,0.178,0.108
2015-06-19,22.9,19.9,25.8,0,0.595,0.007,0.126,1.174,0.032,0.159,0.917,0.162,0.136
2015-06-20,22,19.4,24.2,0,0.798,0.01,0.162,1.59,0.038,0.192,1.067,0.245,0.185
2015-06-21,22.1,20.5,24.6,2,0.677,0.015,0.164,1.615,0.048,0.161,1.171,0.264,0.156
2015-06-22,21.7,20.5,24.3,0.3,0.462,0.007,0.151,1.008,0.014,0.084,0.678,0.211,0.141
2015-06-23,23.5,20.9,26.9,0,0.429,0.006,0.12,0.866,0.03,0.097,0.818,0.174,0.097
2015-06-24,22.1,21.1,23.2,32.7,0.43,0.016,0.146,0.823,0.013,0.045,0.386,0.155,0.149
2015-06-25,23.6,21.5,25.9,7.9,0.433,0.011,0.159,0.765,0.005,0.037,0.471,0.159,0.104
2015-06-26,23.5,21.2,27.8,2.7,0.541,0.015,0.125,0.971,0.023,0.11,0.628,0.2,0.132
2015-06-27,21.2,20.5,22.2,9.2,0.805,0.029,0.246,1.699,0.037,0.155,0.905,0.28,0.236
2015-06-28,22,19.8,25.9,0,0.662,0.016,0.17,1.699,0.043,0.204,1.31,0.339,0.17
2015-06-29,22.3,19.2,25.8,0,0.521,0.007,0.092,1.052,0.036,0.131,0.906,0.205,0.156
2015-06-30,21.9,19.6,26.4,54.8,0.383,0.023,0.208,0.849,0.006,0.029,0.338,0.17,0.111
2015-07-01,22.9,20.5,26.3,0.1,0.434,0.009,0.091,0.863,0.02,0.097,0.713,0.164,0.109
2015-07-02,22.9,19.6,25.5,0,0.555,0.007,0.115,0.961,0.027,0.103,0.894,0.194,0.144
2015-07-03,23.9,21.6,26,0,0.786,0.015,0.169,1.331,0.03,0.181,1.012,0.231,0.155
2015-07-04,22.5,21.3,24.4,0,0.965,0.033,0.18,1.838,0.042,0.225,1.338,0.343,0.223
2015-07-05,22,20.5,24.2,0,0.785,0.011,0.155,1.669,0.048,0.242,1.291,0.313,0.219
2015-07-06,21.4,20.3,23.5,1.4,0.564,0.021,0.192,1.147,0.038,0.127,0.766,0.217,0.163
