year,avgTemp,minTemp,maxTemp,rainFall,avgVisitor,ID,10000Visitor
2018-11-22,10.2,8.4,13.5,0,121800,20181122,12.18
2018-11-23,10,7.3,12.3,0,134141,20181123,13.4141
2018-11-24,14,8.8,19.2,0,139996,20181124,13.9996
2018-11-25,13,10.6,16,0,134596,20181125,13.4596
2018-11-26,14.5,10.4,18.2,0,123456,20181126,12.3456
2018-11-27,13.8,11.5,17,0,117719,20181127,11.7719
2018-11-28,13,10,16.3,0,118584,20181128,11.8584
2018-11-29,12.8,8.5,17.8,0,125097,20181129,12.5097
2018-11-30,13.1,10,16.9,0,129924,20181130,12.9924
2018-12-01,13.7,11.3,16.3,0,113012,20181201,11.3012
2018-12-02,17.6,13.6,20.5,1.6,106194,20181202,10.6194
2018-12-03,18.9,17.1,22.9,2.9,95277,20181203,9.5277
2018-12-04,13.8,10.8,17.6,17.5,91959,20181204,9.1959
2018-12-05,9.9,8,11.7,0,95288,20181205,9.5288
2018-12-06,9.5,8.1,12.6,11.6,104111,20181206,10.4111
2018-12-07,4.8,2.7,10.3,0,109221,20181207,10.9221
2018-12-08,4.2,2.6,6.6,0,116854,20181208,11.6854
2018-12-09,3.9,2.8,4.8,0,114226,20181209,11.4226
2018-12-10,7.6,4.7,10.2,0,104272,20181210,10.4272
2018-12-11,9,7.2,10.1,20,100230,20181211,10.023
2018-12-12,6.5,5.8,9.1,0.2,100670,20181212,10.067
2018-12-13,8,6,9.7,0,107023,20181213,10.7023
2018-12-14,5.6,4.4,7,0,114408,20181214,11.4408
2018-12-15,6,2,9.6,0,122157,20181215,12.2157
2018-12-16,9.1,6.5,10.8,7.1,119924,20181216,11.9924
2018-12-17,10.3,9.7,11.8,0,115630,20181217,11.563
2018-12-18,9.7,8,12,0,116456,20181218,11.6456
2018-12-19,13.9,8.5,18,0,113281,20181219,11.3281
2018-12-20,12.5,11.7,16.1,21.8,111268,20181220,11.1268
2018-12-21,14.6,12.7,16.8,0,117778,20181221,11.7778
2018-12-22,13,11.5,16.2,3,132738,20181222,13.2738
2018-12-23,9.6,7.4,12.2,8,137480,20181223,13.748
2018-12-24,6.4,4.6,9,0,137389,20181224,13.7389
